dayofweek,home_team,score,away_team
Sáb,UANL,2–1,Santos
Sáb,León,3–1,Toluca
Sáb,Guadalajara,1–3,Cruz Azul
Dom,Veracruz,0–2,Monterrey
Sáb,Cruz Azul,0–0,León
Sáb,Querétaro,0–0,UANL
Vie,Puebla,2–0,Veracruz
Vie,Atlas,1–3,Toluca
Dom,UNAM,0–0,América
Sáb,Monterrey,0–0,Tijuana
Sáb,Pachuca,3–1,Lobos BUAP
Sáb,Necaxa,1–3,Guadalajara
Dom,Santos,1–0,Morelia
Sáb,Lobos BUAP,1–1,UNAM
Vie,Morelia,1–0,Querétaro
Vie,Tijuana,2–0,Puebla
Dom,Toluca,1–1,Cruz Azul
Sáb,UANL,3–2,Pachuca
Sáb,León,0–4,Necaxa
Sáb,América,1–0,Atlas
Sáb,Guadalajara,1–2,Monterrey
Dom,Veracruz,1–1,Santos
Sáb,Querétaro,0–1,Veracruz
Vie,Puebla,2–0,Guadalajara
Vie,Atlas,2–1,Cruz Azul
Dom,UNAM,2–0,UANL
Sáb,Santos,0–0,Tijuana
Sáb,Monterrey,5–1,León
Sáb,Pachuca,2–3,Morelia
Sáb,América,5–1,Lobos BUAP
Sáb,Necaxa,0–0,Toluca
Sáb,Lobos BUAP,3–1,Atlas
Sáb,Cruz Azul,0–2,Necaxa
Vie,Morelia,1–2,UNAM
Vie,Tijuana,0–2,Querétaro
Dom,Toluca,2–1,Monterrey
Sáb,UANL,1–1,América
Sáb,León,2–1,Puebla
Sáb,Guadalajara,0–2,Santos
Dom,Veracruz,0–1,Pachuca
Mar,Atlas,1–1,Necaxa
Mar,Lobos BUAP,0–0,UANL
Mar,América,4–1,Morelia
Mié,Santos,5–1,León
Mié,Querétaro,2–2,Guadalajara
Mié,Monterrey,2–2,Cruz Azul
Mié,UNAM,1–2,Veracruz
Mié,Puebla,2–0,Toluca
Mié,Pachuca,2–0,Tijuana
Sáb,Cruz Azul,1–1,Puebla
Vie,Morelia,2–1,Lobos BUAP
Dom,Toluca,2–0,Santos
Sáb,Tijuana,4–1,UNAM
Sáb,UANL,2–0,Atlas
Sáb,León,1–1,Querétaro
Sáb,Necaxa,3–0,Monterrey
Sáb,Guadalajara,1–1,Pachuca
Dom,Veracruz,1–1,América
Sáb,Lobos BUAP,5–0,Veracruz
Sáb,Querétaro,0–2,Toluca
Vie,Atlas,0–1,Monterrey
Vie,Puebla,1–1,Necaxa
Dom,UNAM,1–1,Guadalajara
Sáb,UANL,2–1,Morelia
Sáb,Pachuca,2–1,León
Sáb,América,0–0,Tijuana
Dom,Santos,2–0,Cruz Azul
Sáb,Cruz Azul,0–1,Querétaro
Vie,Tijuana,3–1,Lobos BUAP
Vie,Morelia,2–1,Atlas
Dom,Toluca,2–1,Pachuca
Sáb,Monterrey,1–3,Puebla
Sáb,León,3–0,UNAM
Sáb,Necaxa,1–2,Santos
Sáb,Guadalajara,1–1,América
Dom,Veracruz,0–2,UANL
Sáb,Lobos BUAP,0–1,Guadalajara
Sáb,Querétaro,1–1,Necaxa
Sáb,Cruz Azul,5–0,Pachuca
Vie,Morelia,2–0,Veracruz
Vie,Atlas,1–0,Puebla
Dom,UNAM,0–1,Toluca
Sáb,UANL,1–0,Tijuana
Sáb,América,2–0,León
Dom,Santos,3–2,Monterrey
Sáb,Cruz Azul,1–1,UNAM
Vie,Tijuana,1–1,Morelia
Vie,Puebla,0–1,Santos
Sáb,Monterrey,3–1,Querétaro
Sáb,León,2–2,Lobos BUAP
Sáb,América,1–2,Toluca
Sáb,Necaxa,1–1,Pachuca
Sáb,Guadalajara,0–0,UANL
Dom,Veracruz,3–1,Atlas
Sáb,Lobos BUAP,1–2,Toluca
Sáb,Querétaro,2–1,Puebla
Vie,Morelia,1–2,Guadalajara
Vie,Atlas,3–2,Santos
Dom,UNAM,1–1,Necaxa
Dom,Veracruz,1–0,Tijuana
Sáb,UANL,4–1,León
Sáb,Pachuca,1–2,Monterrey
Sáb,América,2–1,Cruz Azul
Sáb,Cruz Azul,1–0,Lobos BUAP
Vie,Puebla,2–6,Pachuca
Vie,Tijuana,2–2,Atlas
Dom,Toluca,1–0,UANL
Dom,Santos,3–0,Querétaro
Sáb,Monterrey,2–1,UNAM
Sáb,León,2–3,Morelia
Sáb,Necaxa,1–1,América
Sáb,Guadalajara,0–1,Veracruz
Sáb,Lobos BUAP,0–1,Necaxa
Vie,Tijuana,3–0,Guadalajara
Vie,Atlas,1–0,Querétaro
Dom,UNAM,4–2,Puebla
Dom,Veracruz,1–2,León
Sáb,UANL,2–2,Cruz Azul
Sáb,Pachuca,3–1,Santos
Sáb,Morelia,0–1,Toluca
Sáb,América,0–0,Monterrey
Sáb,Cruz Azul,2–0,Morelia
Sáb,Querétaro,0–0,Pachuca
Vie,Puebla,3–1,América
Vie,Atlas,1–0,Guadalajara
Dom,Toluca,3–0,Veracruz
Dom,Santos,1–2,UNAM
Sáb,Monterrey,4–0,Lobos BUAP
Sáb,León,1–1,Tijuana
Sáb,Necaxa,1–1,UANL
Sáb,Lobos BUAP,0–1,Puebla
Vie,Morelia,2–2,Necaxa
Vie,Tijuana,1–0,Toluca
Dom,UNAM,1–1,Querétaro
Dom,Veracruz,1–2,Cruz Azul
Sáb,UANL,2–2,Monterrey
Sáb,Pachuca,0–0,Atlas
Sáb,América,1–0,Santos
Sáb,Guadalajara,0–2,León
Mié,UNAM,1–4,América
Mié,Tijuana,1–1,Monterrey
Jue,UANL,2–0,Santos
Jue,Morelia,2–2,Toluca
Dom,Toluca,2–2,Morelia
Dom,Santos,2–0,UANL
Sáb,América,2–1,UNAM
Sáb,Monterrey,1–2,Tijuana
Jue,Tijuana,2–1,Toluca
Jue,Santos,4–1,América
Dom,Toluca,4–1,Tijuana
Dom,América,2–2,Santos
Jue,Santos,2–1,Toluca
Dom,Toluca,1–1,Santos
Sáb,Querétaro,2–0,Veracruz
Vie,Tijuana,2–0,Morelia
Dom,UNAM,1–0,Guadalajara
Dom,Santos,0–0,UANL
Sáb,Atlas,1–1,Toluca
Sáb,Monterrey,1–1,Puebla
Sáb,Pachuca,5–1,León
Sáb,América,2–0,Chiapas
Sáb,Necaxa,0–0,Cruz Azul
Sáb,Chiapas,0–2,Pachuca
Sáb,Cruz Azul,0–0,UNAM
Vie,Veracruz,2–0,Santos
Dom,Puebla,3–2,Tijuana
Sáb,Morelia,2–2,Querétaro
Sáb,UANL,0–0,Atlas
Sáb,León,0–0,Necaxa
Sáb,Guadalajara,1–0,Monterrey
Sáb,América,3–1,Toluca
Sáb,Querétaro,2–1,Puebla
Vie,Tijuana,4–0,Guadalajara
Dom,UNAM,1–0,León
Dom,Chiapas,1–0,Toluca
Dom,Santos,2–4,Morelia
Sáb,Atlas,1–0,Veracruz
Sáb,Monterrey,1–1,Cruz Azul
Sáb,Pachuca,1–0,Necaxa
Sáb,América,0–3,UANL
Sáb,Cruz Azul,1–2,Tijuana
Dom,Toluca,2–0,Pachuca
Dom,Puebla,0–0,Santos
Sáb,Morelia,3–2,Atlas
Sáb,UANL,1–0,Chiapas
Sáb,León,0–3,Monterrey
Sáb,Veracruz,2–4,América
Sáb,Necaxa,2–2,UNAM
Sáb,Guadalajara,0–0,Querétaro
Sáb,Querétaro,0–0,Cruz Azul
Vie,Tijuana,2–0,León
Dom,Toluca,0–0,UANL
Dom,Chiapas,1–1,Veracruz
Dom,Santos,0–1,Guadalajara
Sáb,Monterrey,2–1,Necaxa
Sáb,Atlas,3–2,Puebla
Sáb,Pachuca,3–0,UNAM
Sáb,América,1–1,Morelia
Sáb,Cruz Azul,3–1,Santos
Vie,Veracruz,2–2,Toluca
Dom,UNAM,5–3,Monterrey
Dom,Puebla,2–2,América
Sáb,UANL,4–2,Pachuca
Sáb,Morelia,3–2,Chiapas
Sáb,León,2–1,Querétaro
Sáb,Necaxa,1–1,Tijuana
Sáb,Guadalajara,2–2,Atlas
Sáb,Querétaro,1–2,Necaxa
Vie,Tijuana,1–0,UNAM
Dom,Toluca,2–2,Morelia
Dom,Chiapas,0–3,Puebla
Dom,Santos,1–0,León
Sáb,UANL,1–1,Veracruz
Sáb,Atlas,1–1,Cruz Azul
Sáb,Pachuca,1–1,Monterrey
Sáb,América,0–3,Guadalajara
Sáb,Cruz Azul,3–4,América
Vie,Veracruz,1–0,Pachuca
Dom,UNAM,4–1,Querétaro
Dom,Puebla,0–2,Toluca
Sáb,Morelia,0–2,UANL
Sáb,Monterrey,0–0,Tijuana
Sáb,León,4–1,Atlas
Sáb,Necaxa,2–1,Santos
Sáb,Guadalajara,2–0,Chiapas
Sáb,Toluca,2–1,Guadalajara
Sáb,Querétaro,1–0,Monterrey
Vie,Veracruz,1–3,Morelia
Dom,Santos,3–1,UNAM
Sáb,UANL,2–1,Puebla
Sáb,Chiapas,0–3,Cruz Azul
Sáb,Atlas,0–0,Necaxa
Sáb,Pachuca,2–2,Tijuana
Sáb,América,0–2,León
Mar,Morelia,1–5,Pachuca
Mar,Guadalajara,0–1,UANL
Mar,Cruz Azul,0–1,Toluca
Mar,Puebla,3–2,Veracruz
Mar,Necaxa,1–1,América
Mié,León,0–0,Chiapas
Mié,Tijuana,2–1,Querétaro
Mié,UNAM,2–0,Atlas
Mié,Monterrey,5–2,Santos
Sáb,Chiapas,2–2,Necaxa
Vie,Veracruz,0–1,Guadalajara
Dom,Toluca,1–1,León
Dom,Santos,1–2,Tijuana
Sáb,Atlas,3–1,Monterrey
Sáb,Morelia,2–3,Puebla
Sáb,UANL,0–0,Cruz Azul
Sáb,Pachuca,2–0,Querétaro
Sáb,América,2–1,UNAM
Sáb,Querétaro,1–1,Santos
Sáb,Cruz Azul,5–3,Veracruz
Vie,Tijuana,1–0,Atlas
Dom,UNAM,1–0,Chiapas
Dom,Puebla,1–1,Pachuca
Sáb,Monterrey,1–1,América
Sáb,León,3–2,UANL
Sáb,Guadalajara,2–1,Morelia
Sáb,Necaxa,3–1,Toluca
Sáb,Chiapas,1–4,Monterrey
Vie,Veracruz,2–3,León
Dom,Toluca,2–1,UNAM
Dom,Puebla,0–2,Guadalajara
Sáb,UANL,0–2,Necaxa
Sáb,Morelia,1–1,Cruz Azul
Sáb,Atlas,2–1,Querétaro
Sáb,Pachuca,3–0,Santos
Sáb,América,1–0,Tijuana
Sáb,Cruz Azul,1–2,Puebla
Vie,Tijuana,2–0,Chiapas
Dom,UNAM,1–3,UANL
Dom,Santos,2–2,Atlas
Sáb,Querétaro,1–1,América
Sáb,Monterrey,1–1,Toluca
Sáb,Necaxa,3–2,Veracruz
Sáb,León,3–1,Morelia
Dom,Guadalajara,1–2,Pachuca
Sáb,Chiapas,1–2,Querétaro
Vie,Veracruz,1–4,UNAM
Dom,Toluca,0–1,Tijuana
Sáb,UANL,1–1,Monterrey
Sáb,Morelia,2–1,Necaxa
Sáb,Pachuca,3–2,Atlas
Sáb,América,3–1,Santos
Sáb,Guadalajara,3–2,Cruz Azul
Dom,Puebla,2–2,León
Sáb,Querétaro,2–3,Toluca
Sáb,Cruz Azul,2–1,Pachuca
Vie,Tijuana,0–1,UANL
Dom,UNAM,1–1,Morelia
Sáb,Atlas,1–1,América
Sáb,Monterrey,4–0,Veracruz
Sáb,León,1–1,Guadalajara
Sáb,Necaxa,3–1,Puebla
Dom,Santos,2–0,Chiapas
Sáb,Chiapas,1–0,Atlas
Sáb,Cruz Azul,2–3,León
Vie,Veracruz,2–1,Tijuana
Dom,Toluca,1–2,Santos
Sáb,Morelia,1–2,Monterrey
Sáb,UANL,1–2,Querétaro
Sáb,Pachuca,3–3,América
Sáb,Guadalajara,1–1,Necaxa
Dom,Puebla,0–3,UNAM
Mié,León,3–0,Tijuana
Mié,UNAM,2–2,UANL
Jue,Necaxa,2–1,Pachuca
Jue,América,1–1,Guadalajara
Sáb,Tijuana,3–2,León
Sáb,UANL,5–0,UNAM
Dom,Guadalajara,0–1,América
Dom,Pachuca,0–0,Necaxa
Mié,León,0–1,UANL
Jue,Necaxa,1–1,América
Sáb,UANL,2–1,León
Dom,América,2–0,Necaxa
Jue,América,1–1,UANL
Dom,UANL,(3) 1–1 (0),América
Sáb,Cruz Azul,1–0,Necaxa
Vie,Veracruz,1–0,Querétaro
Dom,Toluca,4–1,Atlas
Sáb,Morelia,2–0,Tijuana
Sáb,UANL,0–0,Santos
Sáb,León,2–4,Pachuca
Sáb,Guadalajara,2–1,UNAM
Dom,Puebla,2–3,Monterrey
Sáb,Querétaro,0–0,Morelia
Vie,Tijuana,6–2,Puebla
Dom,UNAM,1–0,Cruz Azul
Dom,Toluca,2–1,América
Sáb,Monterrey,2–2,Guadalajara
Sáb,Atlas,2–0,UANL
Sáb,Pachuca,1–0,Chiapas
Sáb,Necaxa,0–1,León
Dom,Santos,2–1,Veracruz
Sáb,Cruz Azul,2–2,Monterrey
Vie,Veracruz,1–0,Atlas
Dom,Toluca,0–1,Chiapas
Sáb,Morelia,1–1,Santos
Sáb,UANL,4–2,América
Sáb,León,0–1,UNAM
Sáb,Necaxa,1–0,Pachuca
Sáb,Guadalajara,0–1,Tijuana
Dom,Puebla,0–0,Querétaro
Sáb,Querétaro,0–1,Guadalajara
Vie,Tijuana,1–0,Cruz Azul
Dom,UNAM,3–1,Necaxa
Dom,Chiapas,1–0,UANL
Sáb,Atlas,3–1,Morelia
Sáb,Monterrey,0–0,León
Sáb,Pachuca,0–0,Toluca
Sáb,América,1–0,Veracruz
Dom,Santos,2–0,Puebla
Sáb,Cruz Azul,1–1,Querétaro
Vie,Puebla,1–1,Atlas
Vie,Veracruz,2–0,Chiapas
Dom,UNAM,1–1,Pachuca
Dom,Guadalajara,1–1,Santos
Sáb,UANL,0–1,Toluca
Sáb,Morelia,0–2,América
Sáb,León,2–4,Tijuana
Sáb,Necaxa,1–1,Monterrey
Mar,Chiapas,2–0,América
Sáb,Querétaro,2–1,León
Vie,Tijuana,1–2,Necaxa
Dom,Toluca,1–0,Veracruz
Dom,Chiapas,1–2,Morelia
Sáb,Atlas,1–2,Guadalajara
Sáb,Monterrey,2–0,UNAM
Sáb,Pachuca,1–0,UANL
Sáb,América,0–0,Puebla
Dom,Santos,2–2,Cruz Azul
Sáb,Cruz Azul,0–1,Atlas
Vie,Veracruz,0–3,UANL
Dom,UNAM,3–3,Tijuana
Dom,Puebla,3–0,Chiapas
Sáb,Monterrey,1–0,Pachuca
Sáb,Morelia,1–2,Toluca
Sáb,León,2–2,Santos
Sáb,Necaxa,1–4,Querétaro
Sáb,Guadalajara,1–0,América
Sáb,Querétaro,4–3,UNAM
Vie,Tijuana,2–0,Monterrey
Dom,Toluca,1–3,Puebla
Dom,Chiapas,4–3,Guadalajara
Sáb,UANL,1–1,Morelia
Sáb,Atlas,2–0,León
Sáb,Pachuca,1–0,Veracruz
Sáb,América,2–0,Cruz Azul
Dom,Santos,2–2,Necaxa
Sáb,Cruz Azul,2–0,Chiapas
Vie,Tijuana,2–3,Pachuca
Dom,UNAM,2–1,Santos
Dom,Puebla,0–2,UANL
Sáb,Monterrey,4–1,Querétaro
Sáb,Morelia,1–0,Veracruz
Sáb,León,1–1,América
Sáb,Necaxa,1–1,Atlas
Sáb,Guadalajara,2–0,Toluca
Sáb,Querétaro,3–0,Pachuca
Sáb,Cruz Azul,0–0,UANL
Vie,Tijuana,1–1,Santos
Dom,UNAM,2–3,América
Sáb,Monterrey,2–0,Atlas
Sáb,León,2–3,Toluca
Sáb,Necaxa,2–2,Chiapas
Sáb,Guadalajara,2–0,Veracruz
Dom,Puebla,0–1,Morelia
Sáb,Chiapas,0–3,UNAM
Vie,Veracruz,3–1,Cruz Azul
Dom,Toluca,2–0,Necaxa
Dom,Santos,1–0,Querétaro
Sáb,UANL,0–1,León
Sáb,Atlas,3–3,Tijuana
Sáb,Morelia,0–0,Guadalajara
Sáb,Pachuca,0–0,Puebla
Sáb,América,1–0,Monterrey
Sáb,Cruz Azul,1–1,Morelia
Sáb,Querétaro,1–4,Atlas
Vie,Tijuana,0–0,América
Dom,UNAM,0–1,Toluca
Dom,Santos,1–0,Pachuca
Sáb,Monterrey,4–1,Chiapas
Sáb,León,4–0,Veracruz
Sáb,Necaxa,1–1,UANL
Sáb,Guadalajara,3–2,Puebla
Mar,Chiapas,0–0,León
Mar,Veracruz,3–2,Puebla
Mar,UANL,3–0,Guadalajara
Mié,Querétaro,0–1,Tijuana
Mié,Santos,2–2,Monterrey
Mié,América,1–0,Necaxa
Mié,Pachuca,0–0,Morelia
Mié,Atlas,1–1,UNAM
Jue,Toluca,0–2,Cruz Azul
Sáb,Chiapas,1–2,Tijuana
Dom,Toluca,1–1,Monterrey
Dom,Puebla,2–1,Cruz Azul
Sáb,UANL,4–0,UNAM
Sáb,Morelia,1–2,León
Sáb,Veracruz,0–1,Necaxa
Sáb,Atlas,1–1,Santos
Sáb,Pachuca,0–0,Guadalajara
Sáb,América,1–0,Querétaro
Sáb,Cruz Azul,2–1,Guadalajara
Sáb,Querétaro,2–2,Chiapas
Vie,Tijuana,2–0,Toluca
Dom,UNAM,0–2,Veracruz
Sáb,Monterrey,1–0,UANL
Sáb,Atlas,1–0,Pachuca
Sáb,León,1–0,Puebla
Sáb,Necaxa,2–1,Morelia
Dom,Santos,2–1,América
Sáb,Chiapas,2–2,Santos
Vie,Veracruz,1–0,Monterrey
Dom,Toluca,1–2,Querétaro
Dom,Puebla,0–1,Necaxa
Sáb,Morelia,4–0,UNAM
Sáb,UANL,3–0,Tijuana
Sáb,Guadalajara,1–1,León
Sáb,Pachuca,2–2,Cruz Azul
Sáb,América,1–2,Atlas
Sáb,Querétaro,1–5,UANL
Dom,UNAM,0–1,Puebla
Dom,Santos,2–2,Toluca
Sáb,Tijuana,1–0,Veracruz
Sáb,León,1–2,Cruz Azul
Sáb,Monterrey,1–2,Morelia
Sáb,Atlas,0–1,Chiapas
Sáb,Necaxa,0–0,Guadalajara
Sáb,América,2–3,Pachuca
Mié,UANL,4–1,Monterrey
Mié,Santos,1–4,Toluca
Jue,Morelia,1–0,Tijuana
Jue,Atlas,1–0,Guadalajara
Dom,Guadalajara,1–0,Atlas
Sáb,Monterrey,0–2,UANL
Sáb,Toluca,1–3,Santos
Dom,Tijuana,2–0,Morelia
Jue,Toluca,1–1,Guadalajara
Jue,UANL,2–0,Tijuana
Dom,Guadalajara,1–1,Toluca
Dom,Tijuana,0–2,UANL
Jue,UANL,2–2,Guadalajara
Dom,Guadalajara,2–1,UANL
Sáb,Cruz Azul,0–3,Morelia
Vie,Veracruz,2–0,Guadalajara
Dom,UNAM,3–0,Monterrey
Dom,Puebla,4–2,América
Sáb,UANL,0–1,Toluca
Sáb,Sinaloa,0–0,Chiapas
Sáb,Pachuca,2–1,Tijuana
Sáb,Atlas,0–2,Querétaro
Sáb,Santos,1–3,León
Sáb,América,1–3,Atlas
Vie,Querétaro,1–2,Pachuca
Vie,Tijuana,1–2,Sinaloa
Dom,Toluca,2–1,UNAM
Dom,Guadalajara,0–1,Cruz Azul
Sáb,León,4–1,Veracruz
Sáb,Morelia,1–0,UANL
Sáb,Chiapas,2–1,Santos
Sáb,Cruz Azul,2–0,León
Vie,Veracruz,2–1,Chiapas
Vie,Santos,0–1,Tijuana
Dom,Toluca,0–1,Morelia
Dom,Puebla,3–2,UNAM
Sáb,Sinaloa,1–1,Querétaro
Sáb,Pachuca,0–3,América
Sáb,Atlas,0–3,Monterrey
Dom,UANL,2–2,Guadalajara
Mar,Tijuana,1–3,Veracruz
Mar,Querétaro,1–2,Santos
Mar,América,4–0,Sinaloa
Mar,Monterrey,4–3,Pachuca
Mié,Puebla,1–0,Toluca
Mié,León,2–1,UANL
Mié,Guadalajara,2–0,Morelia
Mié,UNAM,5–0,Atlas
Mié,Chiapas,2–1,Cruz Azul
Sáb,Cruz Azul,1–3,Tijuana
Sáb,Morelia,3–4,León
Vie,Veracruz,2–2,Querétaro
Vie,Santos,0–2,América
Dom,Toluca,3–1,Guadalajara
Sáb,UANL,4–1,Chiapas
Sáb,Sinaloa,1–4,Monterrey
Sáb,Pachuca,1–2,UNAM
Sáb,Atlas,2–1,Puebla
Sáb,América,3–1,Veracruz
Vie,Tijuana,1–2,UANL
Vie,Querétaro,4–2,Cruz Azul
Dom,UNAM,2–0,Sinaloa
Dom,Puebla,3–2,Pachuca
Sáb,Monterrey,1–1,Santos
Sáb,León,1–0,Guadalajara
Sáb,Atlas,1–2,Toluca
Sáb,Chiapas,3–1,Morelia
Sáb,Cruz Azul,0–2,América
Vie,Veracruz,2–1,Monterrey
Vie,Santos,3–4,UNAM
Dom,Toluca,1–3,León
Dom,Guadalajara,4–1,Chiapas
Sáb,UANL,5–1,Querétaro
Sáb,Sinaloa,1–0,Puebla
Sáb,Pachuca,1–1,Atlas
Sáb,Morelia,1–2,Tijuana
Sáb,América,0–1,UANL
Vie,Tijuana,2–1,Guadalajara
Vie,Querétaro,0–1,Morelia
Dom,UNAM,3–0,Veracruz
Dom,Puebla,0–1,Santos
Sáb,Monterrey,1–1,Cruz Azul
Sáb,Pachuca,3–4,Toluca
Sáb,Atlas,3–2,Sinaloa
Sáb,Chiapas,6–2,León
Sáb,Cruz Azul,2–1,UNAM
Vie,Veracruz,2–1,Puebla
Vie,Santos,0–2,Atlas
Dom,Toluca,1–1,Chiapas
Dom,Guadalajara,2–1,Querétaro
Sáb,UANL,3–1,Monterrey
Sáb,Sinaloa,1–2,Pachuca
Sáb,León,2–1,Tijuana
Sáb,Morelia,0–3,América
Sáb,América,1–2,Guadalajara
Vie,Querétaro,3–0,León
Vie,Tijuana,1–1,Chiapas
Dom,UNAM,1–0,UANL
Dom,Puebla,2–1,Cruz Azul
Sáb,Monterrey,2–2,Morelia
Sáb,Sinaloa,1–2,Toluca
Sáb,Pachuca,0–0,Santos
Sáb,Atlas,0–1,Veracruz
Mié,Morelia,2–2,UNAM
Mar,Toluca,4–1,Tijuana
Mar,León,3–0,América
Mar,Guadalajara,2–1,Monterrey
Mar,Veracruz,0–1,Pachuca
Mar,Chiapas,0–0,Querétaro
Mar,Santos,1–1,Sinaloa
Mié,Cruz Azul,1–1,Atlas
Mié,UANL,0–1,Puebla
Sáb,América,2–1,Chiapas
Vie,Querétaro,2–1,Tijuana
Dom,UNAM,1–0,Guadalajara
Dom,Puebla,1–3,Morelia
Sáb,Monterrey,4–0,León
Sáb,Santos,0–0,Toluca
Sáb,Atlas,0–1,UANL
Vie,Monterrey,1–1,Puebla
Sáb,Cruz Azul,1–1,Sinaloa
Vie,Tijuana,0–2,América
Vie,Veracruz,0–3,Santos
Dom,Toluca,4–2,Querétaro
Dom,Guadalajara,1–1,Puebla
Sáb,UANL,2–1,Pachuca
Sáb,León,1–3,UNAM
Sáb,Morelia,0–1,Atlas
Sáb,Chiapas,2–2,Monterrey
Sáb,América,0–1,Querétaro
Vie,Veracruz,3–2,Toluca
Vie,Santos,1–2,Cruz Azul
Dom,UNAM,2–3,Chiapas
Dom,Puebla,1–0,León
Sáb,Sinaloa,0–0,UANL
Sáb,Monterrey,3–1,Tijuana
Sáb,Pachuca,2–0,Morelia
Sáb,Cruz Azul,1–1,Veracruz
Vie,Querétaro,3–1,Monterrey
Vie,Tijuana,1–2,UNAM
Dom,Toluca,2–3,América
Dom,Guadalajara,4–4,Pachuca
Sáb,UANL,2–2,Santos
Sáb,León,2–1,Atlas
Sáb,Morelia,4–0,Sinaloa
Sáb,Chiapas,1–0,Puebla
Sáb,Cruz Azul,1–2,Toluca
Vie,Veracruz,1–3,UANL
Vie,Santos,2–3,Morelia
Dom,UNAM,2–1,Querétaro
Dom,Puebla,2–1,Tijuana
Sáb,Monterrey,2–1,América
Sáb,Sinaloa,2–1,Guadalajara
Sáb,Pachuca,3–2,León
Sáb,Atlas,2–3,Chiapas
Mar,Sinaloa,0–0,Veracruz
Mié,Atlas,0–1,Guadalajara
Sáb,Pachuca,1–2,Cruz Azul
Sáb,América,1–1,UNAM
Vie,Querétaro,0–0,Puebla
Vie,Tijuana,2–0,Atlas
Dom,Toluca,3–1,Monterrey
Dom,Guadalajara,0–3,Santos
Sáb,UANL,0–0,Cruz Azul
Sáb,León,3–0,Sinaloa
Sáb,Morelia,1–2,Veracruz
Sáb,Chiapas,3–2,Pachuca
Mié,América,4–1,León
Mié,UANL,2–1,Chiapas
Jue,Veracruz,1–0,UNAM
Jue,Puebla,2–2,Toluca
Dom,UNAM,1–0,Veracruz
Dom,Toluca,1–0,Puebla
Sáb,Chiapas,0–1,UANL
Sáb,León,2–1,América
Jue,América,0–3,UNAM
Jue,UANL,0–0,Toluca
Dom,UNAM,1–3,América
Dom,Toluca,0–2,UANL
Jue,UANL,3–0,UNAM
Dom,UNAM,(2) 4–1 (4),UANL
Sáb,América,0–0,Puebla
Vie,Querétaro,1–3,Atlas
Vie,Tijuana,1–1,Pachuca
Dom,Toluca,1–0,UANL
Dom,Guadalajara,2–2,Veracruz
Sáb,Monterrey,1–0,UNAM
Sáb,León,2–0,Santos
Sáb,Morelia,2–2,Cruz Azul
Sáb,Chiapas,1–0,Sinaloa
Sáb,Cruz Azul,1–1,Guadalajara
Vie,Veracruz,1–3,León
Vie,Santos,1–0,Chiapas
Dom,UNAM,3–2,Toluca
Dom,Puebla,1–3,Monterrey
Sáb,UANL,2–0,Morelia
Sáb,Sinaloa,0–1,Tijuana
Sáb,Pachuca,1–0,Querétaro
Sáb,Atlas,0–3,América
Sáb,América,1–4,Pachuca
Vie,Tijuana,1–3,Santos
Vie,Querétaro,3–0,Sinaloa
Dom,UNAM,0–1,Puebla
Dom,Guadalajara,2–2,UANL
Sáb,Monterrey,1–0,Atlas
Sáb,León,3–2,Cruz Azul
Sáb,Morelia,1–1,Toluca
Sáb,Chiapas,1–1,Veracruz
Sáb,Cruz Azul,2–1,Chiapas
Vie,Santos,2–0,Querétaro
Vie,Veracruz,2–2,Tijuana
Dom,Toluca,1–1,Puebla
Sáb,Morelia,2–0,Guadalajara
Sáb,UANL,3–1,León
Sáb,Sinaloa,0–3,América
Sáb,Pachuca,3–1,Monterrey
Sáb,Atlas,1–1,UNAM
Sáb,América,2–0,Santos
Vie,Querétaro,2–1,Veracruz
Vie,Tijuana,1–1,Cruz Azul
Vie,Chiapas,1–3,UANL
Dom,UNAM,1–1,Pachuca
Sáb,Puebla,4–1,Atlas
Sáb,Monterrey,3–0,Sinaloa
Sáb,León,1–2,Morelia
Sáb,Guadalajara,1–1,Toluca
Sáb,Cruz Azul,2–1,Querétaro
Vie,Veracruz,1–1,América
Vie,Toluca,1–1,Atlas
Vie,Santos,1–2,Monterrey
Dom,Guadalajara,0–1,León
Sáb,UANL,1–2,Tijuana
Sáb,Sinaloa,2–3,UNAM
Dom,Pachuca,5–2,Puebla
Sáb,América,3–3,Cruz Azul
Vie,Querétaro,2–2,UANL
Vie,Tijuana,1–1,Morelia
Dom,UNAM,1–1,Santos
Dom,Puebla,3–2,Sinaloa
Sáb,Monterrey,5–1,Veracruz
Sáb,León,5–1,Toluca
Sáb,Atlas,1–0,Pachuca
Sáb,Chiapas,1–1,Guadalajara
Sáb,Cruz Azul,4–0,Monterrey
Vie,Veracruz,0–0,UNAM
Dom,Guadalajara,1–1,Tijuana
Sáb,Santos,1–1,Puebla
Sáb,UANL,4–1,América
Sáb,Sinaloa,2–1,Atlas
Sáb,León,1–3,Chiapas
Sáb,Morelia,1–1,Querétaro
Sáb,Toluca,0–1,Pachuca
Sáb,América,4–1,Morelia
Vie,Tijuana,0–0,León
Dom,UNAM,2–2,Cruz Azul
Dom,Puebla,1–1,Veracruz
Sáb,Querétaro,0–2,Guadalajara
Sáb,Monterrey,1–0,UANL
Sáb,Pachuca,2–2,Sinaloa
Sáb,Atlas,1–2,Santos
Sáb,Chiapas,3–2,Toluca
Sáb,Cruz Azul,1–1,Puebla
Vie,Veracruz,3–2,Atlas
